∑ΩŒªΩ«,—ˆΩ«,¿‚æµ∫≈,≈ÃŒª,µ„∫≈,±±◊¯±Í,∂´◊¯±Í,∏ﬂ≥Ã,
30,75,C1,æµ◊Û,T1,955.2785,1007.8582,24.4737,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C1,æµ”“,T2,955.2794,1007.8584,24.4736,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚◊Û,T3,955.2825,1007.9125,24.4111,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚”“,T4,955.2833,1007.9087,24.4101,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,85,C1,æµ◊Û,T5,955.1486,1007.7095,24.5431,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C1,æµ”“,T6,955.149,1007.7099,24.5431,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚◊Û,T7,955.1621,1007.7647,24.4849,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚”“,T8,955.1624,1007.7605,24.4836,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,D2,√‚◊Û,T9,955.5643,1008.7401,23.2957,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,D2,√‚”“,T10,955.564,1008.7402,23.2954,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,65,C1,æµ◊Û,T12,955.3983,1007.9952,24.371,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C1,æµ”“,T13,955.3995,1007.9954,24.3715,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚◊Û,T14,955.3937,1008.0441,24.3028,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,C2,√‚”“,T15,955.3938,1008.0444,24.3028,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,D2,√‚◊Û,T16,955.491,1008.6558,22.8434,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,,D2,√‚”“,T17,955.491,1008.6574,22.8433,¿‚æµ≥£ ˝”–ŒÛ£¨·‚ø®‘≤¿‚æµ
,35,C2,√‚◊Û,T18,955.6352,1008.3219,23.8302,
,,C2,√‚”“,T19,955.6349,1008.3234,23.8304,
,25,C1,æµ◊Û,T20,955.7095,1008.3769,23.7081,
,,C1,æµ”“,T21,955.7106,1008.3773,23.7084,
,,C2,√‚◊Û,T22,955.6716,1008.3912,23.6432,
,,C2,√‚”“,T23,955.6713,1008.3941,23.6439,
,15,C1,æµ◊Û,T24,955.7346,1008.406,23.5026,
,,C1,æµ”“,T25,955.7355,1008.4064,23.5026,
,,C2,√‚◊Û,T26,955.688,1008.4195,23.4447,
,,C2,√‚”“,T27,955.6877,1008.4192,23.4447,
,5,C1,æµ◊Û,T28,955.7363,1008.4079,23.2934,
,,C1,æµ”“,T29,955.7372,1008.408,23.2937,
,,C2,√‚◊Û,T30,955.6818,1008.4172,23.2435,
,,C2,√‚”“,T31,955.6818,1008.4171,23.2436,
60,5,C1,æµ◊Û,T32,955.351,1007.4049,23.2926,
,,C1,æµ”“,T33,955.3517,1007.4049,23.2939,
,,C2,√‚◊Û,T35,955.2955,1007.4157,23.2378,
,,C2,√‚”“,T36,955.2955,1007.4161,23.2379,
,15,C1,æµ◊Û,T37,955.3489,1007.4039,23.5028,
,,C1,æµ”“,T38,955.3497,1007.4043,23.5023,
,,C2,√‚◊Û,T39,955.3035,1007.4177,23.4395,
,,C2,√‚”“,T40,955.3033,1007.4186,23.4397,
,25,C1,æµ◊Û,T41,955.3122,1007.3915,23.7082,
,,C1,æµ”“,T42,955.3133,1007.3918,23.7079,
,,C2,√‚◊Û,T43,955.2761,1007.4091,23.6406,
,,C2,√‚”“,T44,955.2762,1007.4089,23.64,
,35,C1,æµ◊Û,T45,955.2424,1007.3678,23.9043,
