   count of succeed-fitted:  55
prism, yaw-pitch, countOfPoints, updated_xyz,,,updated_abc,,,updated_r, sigma,,,,,,,
A1,240_15,14,953.672,1008.62,23.5013,5.14777e-06,-0.00252591,0.999992,2.07572,0.0168038,0.00659987,0.0830133,0.0672152,0.0263989,0.25,0.00481671,
A1,240_25,14,953.672,1008.62,23.7081,7.58513e-05,-0.00248368,0.999993,2.05438,0.0170948,0.00679637,0.0830139,0.0683791,0.0271849,0.25,0.00491734,
A1,240_35,14,953.671,1008.62,23.905,-0.000693412,-0.00280861,0.999986,2.01392,0.0121861,0.0080543,0.0831254,0.0487443,0.0322165,0.250001,0.00512377,
A1,240_45,14,953.672,1008.62,24.0873,0.000222133,-0.00291016,0.999992,1.95828,0.0158563,0.00671308,0.0724126,0.0634254,0.026852,0.249999,0.00472068,
A1,210_55,17,953.671,1008.62,24.2482,0.000712989,-0.00305815,0.999981,1.89357,0.0146961,0.00881951,0.0699244,0.0587843,0.0352777,0.250001,0.00487532,
A1,210_65,18,953.671,1008.62,24.3827,0.00111043,-0.00291036,0.999981,1.82661,0.0148862,0.0099392,0.0686686,0.0595446,0.0397565,0.250001,0.00514525,
A1,210_75,20,953.67,1008.62,24.4861,0.00187244,-0.00255649,0.99998,1.76663,0.0101043,0.00928214,0.0562328,0.0404174,0.0371287,0.250002,0.0045044,
A1,210_85,18,953.671,1008.62,24.5572,0.00225559,-0.0024155,0.999977,1.7196,0.00990529,0.0117573,0.0588531,0.0396212,0.0470293,0.250002,0.00497568,
B1,210_45,8,953.673,1008.63,22.4939,0.0019639,-0.00302142,0.99999,-1.5483,0.0320049,0.0444517,0.128065,0.128019,0.177805,0.249999,0.0133556,
B1,210_55,10,953.672,1008.63,22.6321,0.00145423,-0.00363577,0.999989,1.61995,0.0256954,0.0202074,0.105554,0.102781,0.0808274,0.249998,0.0100558,
B1,210_65,16,953.665,1008.64,22.7759,-0.00280513,0.00781437,0.997447,1.69901,0.014087,0.0101223,0.0670022,0.0563475,0.040485,0.250639,0.00578903,
B1,210_75,18,953.672,1008.62,22.9726,0.000487197,-0.00319003,0.999983,1.7386,0.0127428,0.00842729,0.0588392,0.0509711,0.0337093,0.250001,0.00486638,
B1,210_85,18,953.671,1008.62,23.1645,0.000648249,-0.00323126,0.999983,1.77353,0.0123792,0.0079828,0.0588556,0.049517,0.0319313,0.250001,0.0046779,
C1,30_5,16,953.673,1008.63,23.2607,0.0281292,0.0208865,0.978185,2.07785,0.00590179,0.012588,0.0685743,0.0235893,0.0502839,0.255087,0.00389806,
C1,30_15,16,953.673,1008.63,23.4698,0.0281107,0.0207981,0.978157,2.0764,0.00591444,0.0126006,0.0685756,0.0236399,0.0503343,0.255094,0.00390347,
C1,30_25,16,953.673,1008.63,23.6754,0.0287187,0.0206458,0.978174,2.05446,0.00610847,0.0128076,0.068576,0.024415,0.0511612,0.255081,0.00398752,
C1,60_35,14,953.674,1008.62,23.8741,0.040218,0.0108636,0.979332,2.01333,0.00981736,0.0110838,0.0761463,0.0391835,0.0443011,0.254618,0.00462993,
C1,60_45,14,953.674,1008.62,24.0541,0.0418566,0.00928715,0.979265,1.95813,0.0107272,0.0113702,0.0761445,0.0428148,0.0454472,0.254604,0.00489486,
C1,60_55,16,953.674,1008.62,24.2086,0.039155,0.00302207,0.978955,1.8942,0.00912528,0.00967287,0.0666042,0.0364653,0.0386911,0.254774,0.00455823,
C1,60_65,16,953.674,1008.62,24.3413,0.0407557,-0.000139786,0.978912,1.82823,0.0100915,0.0100905,0.0665988,0.0403278,0.0403613,0.254748,0.00489323,
C1,60_75,16,953.67,1008.62,24.4852,0.00190066,-0.00369555,0.999969,1.76617,0.0107191,0.0102702,0.0636344,0.0428762,0.0410808,0.250002,0.0050999,
C1,60_85,17,953.668,1008.62,24.5379,0.00068988,-0.00145315,0.985952,1.72277,0.0100858,0.012619,0.0635921,0.0403421,0.0504749,0.253692,0.00527877,
D1,90_45,8,953.677,1008.63,22.3452,0.0765561,0.0187758,0.983936,-1.68537,0.025646,0.0261958,0.141361,0.100485,0.104455,0.252329,0.0125521,
D1,60_55,14,953.674,1008.62,22.5421,0.0436119,0.0179776,0.979042,1.78181,0.0114146,0.015278,0.0761149,0.0455588,0.0610579,0.25455,0.00591067,
D1,60_65,18,953.673,1008.62,22.759,0.0286115,0.00485657,0.976449,1.86296,0.00740064,0.00937976,0.0590746,0.029618,0.0375076,0.25565,0.0041537,
D1,60_75,20,953.673,1008.63,23.0624,-0.00442005,-0.0106779,0.924377,1.92347,0.00596701,0.0108243,0.0623392,0.0238394,0.0432979,0.270968,0.00385865,
D1,60_85,20,953.67,1008.62,23.2568,0.00362271,-0.00114101,0.99997,1.95181,0.00571563,0.00823952,0.0526174,0.022863,0.0329581,0.250003,0.00345294,
A2,240_5,18,953.671,1008.63,23.2423,-4.57123e-05,-0.0012381,0.999927,2.02804,0.0101479,0.00536069,0.0590075,0.0405917,0.0214427,0.250018,0.00358644,
A2,240_15,14,953.674,1008.62,23.4438,0.000314887,-0.00148471,0.999961,2.03151,0.0174115,0.00694773,0.0832351,0.0696461,0.0277906,0.250009,0.00504194,
A2,240_25,14,953.674,1008.62,23.6434,0.000688427,-0.00207218,0.99999,2.01757,0.0176188,0.00708672,0.0831079,0.0704752,0.0283465,0.250001,0.00510415,
A2,240_35,12,953.674,1008.62,23.8356,0.00041061,-0.0019929,0.999997,1.9836,0.0181845,0.00853114,0.0888092,0.0727379,0.0341241,0.249999,0.00564276,
A2,240_45,18,953.671,1008.62,24.0157,-0.000138003,-0.00210935,0.999988,1.93562,0.0112478,0.00583971,0.0588761,0.0449914,0.0233589,0.250001,0.0039286,
A2,240_55,18,953.671,1008.63,24.1758,-0.000186989,-0.00214129,0.999982,1.87638,0.0119372,0.00625802,0.0588783,0.0477489,0.0250321,0.250003,0.00418069,
