∑ΩŒªΩ«,—ˆΩ«,¿‚æµ∫≈,≈ÃŒª,µ„∫≈,±±◊¯±Í,∂´◊¯±Í,∏ﬂ≥Ã,
30,35,C2,√‚◊Û,T18,955.6352,1008.3219,23.8302,
30,35,C2,√‚”“,T19,955.6349,1008.3234,23.8304,
30,25,C1,æµ◊Û,T20,955.7095,1008.3769,23.7081,
30,25,C1,æµ”“,T21,955.7106,1008.3773,23.7084,
30,25,C2,√‚◊Û,T22,955.6716,1008.3912,23.6432,
30,25,C2,√‚”“,T23,955.6713,1008.3941,23.6439,
30,15,C1,æµ◊Û,T24,955.7346,1008.406,23.5026,
30,15,C1,æµ”“,T25,955.7355,1008.4064,23.5026,
30,15,C2,√‚◊Û,T26,955.688,1008.4195,23.4447,
30,15,C2,√‚”“,T27,955.6877,1008.4192,23.4447,
30,5,C1,æµ◊Û,T28,955.7363,1008.4079,23.2934,
30,5,C1,æµ”“,T29,955.7372,1008.408,23.2937,
30,5,C2,√‚◊Û,T30,955.6818,1008.4172,23.2435,
30,5,C2,√‚”“,T31,955.6818,1008.4171,23.2436,
60,5,C1,æµ◊Û,T33,955.351,1007.4049,23.2926,
60,5,C1,æµ”“,T34,955.3517,1007.4049,23.2939,
60,5,C2,√‚◊Û,T35,955.2955,1007.4157,23.2378,
60,5,C2,√‚”“,T36,955.2955,1007.4161,23.2379,
60,15,C1,æµ◊Û,T37,955.3489,1007.4039,23.5028,
60,15,C1,æµ”“,T38,955.3497,1007.4043,23.5023,
60,15,C2,√‚◊Û,T39,955.3035,1007.4177,23.4395,
60,15,C2,√‚”“,T40,955.3033,1007.4186,23.4397,
60,25,C1,æµ◊Û,T41,955.3122,1007.3915,23.7082,
60,25,C1,æµ”“,T42,955.3133,1007.3918,23.7079,
60,25,C2,√‚◊Û,T43,955.2761,1007.4091,23.6406,
60,25,C2,√‚”“,T44,955.2762,1007.4089,23.64,
60,35,C1,æµ◊Û,T45,955.2424,1007.3678,23.9043,
60,35,C1,æµ”“,T46,955.2435,1007.3678,23.904,
60,35,C2,√‚◊Û,T47,955.2199,1007.3841,23.8318,
60,35,C2,√‚”“,T48,955.2193,1007.3864,23.8325,
60,45,C1,æµ◊Û,T49,955.1412,1007.3336,24.084,
60,45,C1,æµ”“,T50,955.1423,1007.3337,24.0842,
60,45,C2,√‚◊Û,T51,955.1315,1007.3568,24.011,
60,45,C2,√‚”“,T52,955.1311,1007.3577,24.011,
60,55,C1,æµ◊Û,T53,955.0124,1007.2897,24.243,
60,55,C1,æµ”“,T54,955.0134,1007.29,24.2425,
60,55,C2,√‚◊Û,T55,955.0157,1007.3146,24.1686,
60,55,C2,√‚”“,T56,955.0153,1007.3157,24.169,
60,55,D1,æµ◊Û,T57,955.1906,1007.6968,22.5718,
60,55,D1,æµ”“,T58,955.1914,1007.6969,22.5723,
60,55,D2,√‚◊Û,T59,955.1608,1007.6917,22.636,
60,55,D2,√‚”“,T60,955.161,1007.6923,22.6363,
60,65,C1,æµ◊Û,T61,954.8597,1007.2377,24.375,
60,65,C1,æµ”“,T62,954.8606,1007.2379,24.3751,
60,65,C2,√‚◊Û,T63,954.8739,1007.2641,24.3047,
60,65,C2,√‚”“,T64,954.8736,1007.2665,24.3059,
60,65,D1,æµ◊Û,T65,955.3076,1007.7366,22.782,
60,65,D1,æµ”“,T66,955.3087,1007.7371,22.7824,
60,65,D2,√‚◊Û,T67,955.2663,1007.7306,22.84,
60,65,D2,√‚”“,T68,955.2664,1007.7309,22.8408,
60,75,C1,æµ◊Û,T69,954.6863,1007.1787,24.4779,
60,75,C1,æµ”“,T70,954.6871,1007.1791,24.4781,
60,75,C2,√‚◊Û,T71,954.7122,1007.2112,24.4118,
60,75,C2,√‚”“,T72,954.7124,1007.2102,24.4115,
60,75,D1,æµ◊Û,T73,955.3882,1007.764,23.0106,
60,75,D1,æµ”“,T74,955.3896,1007.7646,23.0107,
60,75,D2,√‚◊Û,T75,955.3369,1007.7569,23.0623,
60,75,D2,√‚”“,T76,955.3365,1007.7577,23.0627,
60,85,C1,æµ◊Û,T77,954.4994,1007.115,24.5476,
60,85,C1,æµ”“,T78,954.5007,1007.1155,24.5473,
60,85,C2,√‚◊Û,T79,954.5369,1007.1482,24.4881,
60,85,C2,√‚”“,T80,954.536,1007.1483,24.4883,
60,85,D1,æµ◊Û,T81,955.4304,1007.7783,23.2502,
60,85,D1,æµ”“,T82,955.4317,1007.7785,23.2504,
60,85,D2,√‚◊Û,T83,955.3716,1007.7702,23.2928,
60,85,D2,√‚”“,T84,955.3711,1007.7719,23.2932,
90,85,C1,æµ◊Û,T85,953.6336,1006.9038,24.5468,
90,85,C1,æµ”“,T86,953.6348,1006.904,24.5474,
90,85,C2,√‚◊Û,T87,953.6772,1006.9379,24.4922,
90,85,C2,√‚”“,T88,953.6769,1006.9372,24.4927,
90,85,D1,æµ◊Û,T89,954.7717,1007.012,23.2501,
90,85,D1,æµ”“,T90,954.7722,1007.0126,23.2506,
90,85,D2,√‚◊Û,T91,954.7262,1007.0075,23.2869,
90,85,D2,√‚”“,T92,954.7258,1007.0082,23.2875,
90,75,C1,æµ◊Û,T93,953.8272,1006.8651,24.4778,
90,75,C1,æµ”“,T94,953.8282,1006.8653,24.4779,
90,75,C2,√‚◊Û,T95,953.8619,1006.897,24.4151,
90,75,C2,√‚”“,T96,953.8617,1006.8985,24.4152,
90,75,D1,æµ◊Û,T97,954.7279,1007.021,23.0101,
90,75,D1,æµ”“,T98,954.7287,1007.0212,23.0104,
90,75,D2,√‚◊Û,T99,954.6906,1007.0165,23.0585,
90,75,D2,√‚”“,T100,954.6902,1007.0175,23.0585,
90,65,C1,æµ◊Û,T101,954.0057,1006.8296,24.3756,
90,65,C1,æµ”“,T102,954.0072,1006.83,24.3754,
90,65,C2,√‚◊Û,T103,954.0299,1006.8574,24.306,
90,65,C2,√‚”“,T104,954.0289,1006.8614,24.3069,
90,65,D1,æµ◊Û,T105,954.6438,1007.0374,22.7819,
90,65,D1,æµ”“,T106,954.645,1007.038,22.7819,
90,65,D2,√‚◊Û,T107,954.6162,1007.0333,22.8378,
90,65,D2,√‚”“,T108,954.6159,1007.0352,22.8381,
90,55,C1,æµ◊Û,T109,954.1645,1006.798,24.2427,
